date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:05	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4af4%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	C:/My%20Web%20Sites/Gestao%201/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	(from https://gestao.co.in/)
12:27:05	48944/48944	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:04%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	C:/My%20Web%20Sites/Gestao%201/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	(from https://gestao.co.in/)
12:27:06	10865/10865	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2002%20Jun%202021%2006:57:06%20GMT	https://kit.fontawesome.com/feda5be979.js	C:/My%20Web%20Sites/Gestao%201/kit.fontawesome.com/feda5be979.js	(from https://gestao.co.in/)
12:27:06	5537/5537	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215a1-60962de6-b0add71b876dedf4;gz%22	https://gestao.co.in/assets/global/toastr/toastr.min.js	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/global/toastr/toastr.min.js	(from https://gestao.co.in/)
12:27:06	109/109	---M--	200	added ('OK')	application/x-javascript	etag:%226d-60a63eb4-bdf80db04510ad1b;;;%22	https://gestao.co.in/assets/frontend/default/js/init.js	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/js/init.js	(from https://gestao.co.in/)
12:27:07	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-6f0%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.css	C:/My%20Web%20Sites/Gestao%201/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.css	(from https://gestao.co.in/)
12:27:07	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fd5-a76f%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.js	C:/My%20Web%20Sites/Gestao%201/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.js	(from https://gestao.co.in/)
12:27:08	54266/54266	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22d3fa-60a63eaa-80eccd7660b06956;;;%22	https://gestao.co.in/assets/frontend/default/fonts/Simple-Line-Icons.eot?v=2.4.0	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/fonts/Simple-Line-Iconsb26c.eot	(from https://gestao.co.in/assets/frontend/default/css/simple-line-icons.css)
12:27:08	30064/30064	---M--	200	added ('OK')	font/woff2	etag:%227570-60a63eac-39446dce9957471d;;;%22	https://gestao.co.in/assets/frontend/default/fonts/Simple-Line-Icons.woff2?v=2.4.0	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/fonts/Simple-Line-Iconsb26c.woff2	(from https://gestao.co.in/assets/frontend/default/css/simple-line-icons.css)
12:27:08	54056/54056	---M--	200	added ('OK')	application/x-font-ttf	etag:%22d328-60a63eab-7516a6933342d394;;;%22	https://gestao.co.in/assets/frontend/default/fonts/Simple-Line-Icons.ttf?v=2.4.0	C:/My%20Web%20Sites/Gestao%201/gestao.co.in/assets/frontend/default/fonts/Simple-Line-Iconsb26c.ttf	(from https://gestao.co.in/assets/frontend/default/css/simple-line-icons.css)
